Service__c,Id,Location_ID__c,Opens_At__c,Closes_At__c,Weekday__c
a1T2E00000A7j8dUAB,a1Q2E000003nJsYUAU,a0K2E000010rRUlUAM,09:00:00.000Z,09:30:00.000Z,1
a1T2E00000A7j8BUAR,a1Q2E000003nJrIUAU,a0K2E000010rRUJUA2,10:30:00.000Z,11:30:00.000Z,1
a1T2E00000A7j8BUAR,a1Q2E000003nJrJUAU,a0K2E000010rRUJUA2,10:30:00.000Z,11:30:00.000Z,2
a1T2E00000A7j8BUAR,a1Q2E000003nJrKUAU,a0K2E000010rRUJUA2,10:30:00.000Z,11:30:00.000Z,3
a1T2E00000A7j8BUAR,a1Q2E000003nJrLUAU,a0K2E000010rRUJUA2,10:30:00.000Z,11:30:00.000Z,4
a1T2E00000A7j8BUAR,a1Q2E000003nJrMUAU,a0K2E000010rRUJUA2,10:30:00.000Z,11:30:00.000Z,5
a1T2E00000A7j8BUAR,a1Q2E000003nJrNUAU,a0K2E000010rRUJUA2,10:30:00.000Z,11:30:00.000Z,6
a1T2E00000A7j8CUAR,a1Q2E000003nJrOUAU,a0K2E000010rRUKUA2,09:00:00.000Z,15:30:00.000Z,1
a1T2E00000A7j8CUAR,a1Q2E000003nJrPUAU,a0K2E000010rRUKUA2,09:00:00.000Z,15:30:00.000Z,2
a1T2E00000A7j8CUAR,a1Q2E000003nJrQUAU,a0K2E000010rRUKUA2,09:00:00.000Z,15:30:00.000Z,3
a1T2E00000A7j8CUAR,a1Q2E000003nJrRUAU,a0K2E000010rRUKUA2,09:00:00.000Z,15:30:00.000Z,4
a1T2E00000A7j8CUAR,a1Q2E000003nJrSUAU,a0K2E000010rRUKUA2,09:00:00.000Z,15:30:00.000Z,5
a1T2E00000A7j8EUAR,a1Q2E000003nJrTUAU,a0K2E000010rRUMUA2,06:00:00.000Z,20:00:00.000Z,1
a1T2E00000A7j8EUAR,a1Q2E000003nJrUUAU,a0K2E000010rRUMUA2,06:00:00.000Z,20:00:00.000Z,2
a1T2E00000A7j8EUAR,a1Q2E000003nJrVUAU,a0K2E000010rRUMUA2,06:00:00.000Z,20:00:00.000Z,3
a1T2E00000A7j8EUAR,a1Q2E000003nJrWUAU,a0K2E000010rRUMUA2,06:00:00.000Z,20:00:00.000Z,4
a1T2E00000A7j8EUAR,a1Q2E000003nJrXUAU,a0K2E000010rRUMUA2,06:00:00.000Z,20:00:00.000Z,5
a1T2E00000A7j8EUAR,a1Q2E000003nJrYUAU,a0K2E000010rRUMUA2,06:00:00.000Z,20:00:00.000Z,6
a1T2E00000A7j8EUAR,a1Q2E000003nJrZUAU,a0K2E000010rRUMUA2,06:00:00.000Z,20:00:00.000Z,7
a1T2E00000A7j8GUAR,a1Q2E000003nJrbUAE,a0K2E000010rRUOUA2,09:00:00.000Z,11:00:00.000Z,1
a1T2E00000A7j8GUAR,a1Q2E000003nJrcUAE,a0K2E000010rRUOUA2,09:00:00.000Z,11:00:00.000Z,3
a1T2E00000A7j8GUAR,a1Q2E000003nJrdUAE,a0K2E000010rRUOUA2,09:00:00.000Z,11:00:00.000Z,5
a1T2E00000A7j8IUAR,a1Q2E000003nJriUAE,a0K2E000010rRUQUA2,08:30:00.000Z,15:30:00.000Z,2
a1T2E00000A7j8IUAR,a1Q2E000003nJrjUAE,a0K2E000010rRUQUA2,08:30:00.000Z,15:30:00.000Z,3
a1T2E00000A7j8IUAR,a1Q2E000003nJrkUAE,a0K2E000010rRUQUA2,08:30:00.000Z,15:30:00.000Z,4
a1T2E00000A7j8IUAR,a1Q2E000003nJrlUAE,a0K2E000010rRUQUA2,08:30:00.000Z,15:30:00.000Z,5
a1T2E00000A7j8IUAR,a1Q2E000003nJrmUAE,a0K2E000010rRUQUA2,08:30:00.000Z,15:30:00.000Z,6
a1T2E000009DWUcUAO,a1Q2E000003nHvuUAE,a0K2E00000wAntWUAS,08:00:00.000Z,16:30:00.000Z,4
a1T2E000009DWUcUAO,a1Q2E000003nHvwUAE,a0K2E00000wAntWUAS,08:00:00.000Z,16:30:00.000Z,5
a1T2E000009DWUcUAO,a1Q2E000003nHvxUAE,a0K2E00000wAntWUAS,08:00:00.000Z,16:30:00.000Z,3
a1T2E000009DYpaUAG,a1Q2E000003nHw1UAE,a0K2E00000wArrqUAC,09:00:00.000Z,12:00:00.000Z,2
